incorrect,correct,error_type
These answer is expensive.,This student is expensive.,Determiner: this vs these
"If I was you, I would go.","If I were you, I would go.",Misc: conditional
I talk by problem.,I talk to problem.,Preposition: wrong preposition
We go friend.,We go into friend.,Preposition: missing preposition
She worked often.,She has worked often.,Tense: Present Perfect to Simple Past
I don't have nothing.,I don't have anything.,Misc: double negative
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
It watchs sometimes.,It is watching sometimes.,Tense: Present Continuous to Simple
That book is your's.,That book is yours.,Pronoun: possessive
We don't have some schools.,We don't have any schools.,Determiner: some vs any
She watched every day.,She has watched every day.,Tense: Present Perfect to Simple Past
This is more better.,This is better.,Misc: comparative/superlative
I have little houses.,I have few houses.,Determiner: few vs little
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
Me and John went to the store.,John and I went to the store.,Pronoun: subject vs object
He depends among book.,He depends on book.,Preposition: wrong preposition
That book is your's.,That book is yours.,Pronoun: possessive
"If I was you, I would go.","If I were you, I would go.",Misc: conditional
I bought the job.,I bought a job.,Article: wrong article
We bought an uniform.,We bought a uniform.,Article: a vs an
I don't have nothing.,I don't have anything.,Misc: double negative
He depends by city.,He depends on city.,Preposition: wrong preposition
There is few milk left.,There is little milk left.,Determiner: few vs little
I look for job.,I look into job.,Preposition: wrong preposition
I have little students.,I have few students.,Determiner: few vs little
She is the most smartest.,She is the smartest.,Misc: comparative/superlative
We wants the water.,We wants water.,Article: extra article
We look upon movie.,We look at movie.,Preposition: wrong preposition
I enjoy to read books.,I enjoy reading books.,Misc: infinitive vs gerund
We work often.,We will work often.,Tense: Future to Present
She gos question.,She gos into question.,Preposition: missing preposition
They depend to idea.,They depend on idea.,Preposition: wrong preposition
This is more better.,This is better.,Misc: comparative/superlative
They studied always.,They work always.,Tense: Present to Past
It read yesterday.,It has read yesterday.,Tense: Present Perfect to Simple Past
You don't have some students.,You don't have any students.,Determiner: some vs any
I don't have many water.,I don't have much water.,Determiner: much vs many
We ate tomorrow.,We have ate tomorrow.,Tense: Present Perfect to Simple Past
It slept yesterday.,It has slept yesterday.,Tense: Present Perfect to Simple Past
I don't have many time.,I don't have much time.,Determiner: much vs many
I did it by me.,I did it by myself.,Pronoun: reflexive
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
They is house.,They is a house.,Article: missing article
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
This is more better.,This is better.,Misc: comparative/superlative
